On Demand Downloads Download Date,On Demand Downloads Total Downloads
2016-05-08,131273
2016-05-07,113286
2016-05-06,126721
2016-05-05,138909
2016-05-04,142486
2016-05-03,148948
2016-05-02,156406
2016-05-01,152352
2016-04-30,133309
2016-04-29,155002
2016-04-28,171559
2016-04-27,181724
2016-04-26,196045
2016-04-25,234806
2016-04-24,227502
2016-04-23,242391
2016-04-22,582384
2016-04-21,241864
2016-04-20,140566
2016-04-19,151349
2016-04-18,146163
2016-04-17,139623
2016-04-16,124970
2016-04-15,142877
2016-04-14,160435
2016-04-13,173635
2016-04-12,184504
2016-04-11,198573
2016-04-10,193147
2016-04-09,182001
2016-04-08,221923
2016-04-07,316441
2016-04-06,707272
2016-04-05,152715
2016-04-04,157034
2016-04-03,153712
2016-04-02,134869
2016-04-01,151404
2016-03-31,173362
2016-03-30,194687
2016-03-29,188532
2016-03-28,212955
2016-03-27,197973
2016-03-26,183721
2016-03-25,230649
2016-03-24,276178
2016-03-23,582533
2016-03-22,119592
2016-03-21,114395
2016-03-20,107347
2016-03-19,96559
2016-03-18,98507
2016-03-17,79634
2016-03-16,84469
2016-03-15,94042
2016-03-14,119566
2016-03-13,116517
